nces_id,cds_id,fips_code,county_code,District  Name,County Name,school_count,Total Enrollment ,Total Enrollment,enroll_es,enroll_ms,enroll_hs,race_hisp,race_afam,race_white,av,urban,suburban,Rural District,AV Per Student,AV Quintile,frpm_total,FRPM Share,Region Code,Nonwhite share,Black Share,Hispanic  Share,UN_LA,un_la_amount,UN_55,un_55_amount,SAB Unfunded, SAB Unfunded $ ,Bond on 11/2016,Bond $ 11/2016,cds_county,enrollgrowth,enrollgrowth_pct,perschoolpop,Bond Passed 11/2016,Bond Passed $  6/2016,Bond $ 6/2016,Bond Passed 6/2016,Bond Passed $  6/2016,Bond in 2015,Bond $ 2015,Bond Passed 2015,Bond in 2014,Bond $ 2014,Bond Passed 2014,,
691063,10082,6015,8,Del Norte County Office of Education,Del Norte,6,619,619,198,74,347,77,8,388,,0,0,0,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
610770,61820,6015,8,Del Norte County Unified,Del Norte,13,3502,3502,2023,503,976,781,29,1846,1699000000,0,0,0,485012,2,2429,0.68,1,0.46,0.01,0.21,0,,0,,0,,0,,8,-1527,-0.29835874,326.45456,,0,,,0,,,,,,,,
605240,73783,6017,9,Black Oak Mine Unified,El Dorado,7,1314,1314,712,175,427,121,10,1117,1394000000,0,0,1,1060685,3,595,0.44,5,0.12,0.01,0.07,0,,0,,0,,0,,9,-770,-0.36116323,194.57143,,0,,,0,,,,,,,,
606270,61838,6017,9,Buckeye Union Elementary,El Dorado,11,5157,5157,4018,1139,0,663,58,3658,5621000000,0,0,1,1089954,3,709,0.14,5,0.29,0.01,0.13,0,,0,,0,,0,,9,1343,0.358899,508.5,,0,,,0,,,,,,,,
607170,61846,6017,9,Camino Union Elementary,El Dorado,3,529,529,429,100,0,148,1,338,512100000,0,0,1,968139,3,256,0.47,5,0.34,0,0.27,0,,0,,0,,0,,9,-38,-0.065292098,272,,0,4000000,1,4000000,,,,,,,,
691006,10090,6017,9,El Dorado County Office of Education,El Dorado,9,985,985,196,234,555,203,56,649,,0,0,1,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
612070,61853,6017,9,El Dorado Union High,El Dorado,10,6810,6810,0,0,6810,908,81,5070,17400000000,0,0,0,2555092,5,1372,0.2,5,0.27,0.01,0.12,0,,0,,0,,0,,9,756,0.12411755,684.70001,,0,,,0,,,,,,,,
615390,61879,6017,9,Gold Oak Union Elementary,El Dorado,3,463,463,361,102,0,35,5,408,741700000,0,0,1,1601957,4,197,0.42,5,0.13,0.01,0.1,0,,0,,0,,0,,9,-472,-0.50427353,154.66667,,0,,,0,,,,,,,,
615450,61887,6017,9,Gold Trail Union Elementary,El Dorado,3,637,637,499,138,0,46,7,544,741800000,0,0,1,1164558,4,162,0.27,5,0.16,0.01,0.09,0,,0,,0,,0,,9,-116,-0.16178522,300.5,,0,,,0,,,,,,,,
618240,61895,6017,9,Indian Diggings Elementary,El Dorado,2,,17,14,3,0,0,0,15,27286904,0,0,1,1605112,4,4,0.22,5,0.11,0,0,0,,0,,0,,0,,9,-11,-0.37931034,18,,0,,,0,,,,,,,,
